Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,219,219,16000.0,15159.796795561691,2025.0577030001295,17995.05238399979,0.0,1.2015818861291059,1.2015818861291059,16000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000
GET,/#/search?q=[XSS_FUZZ_GET],7,7,16000.0,13520.056157856743,3888.197439999203,17048.285576000126,0.0,0.038406726953898365,0.038406726953898365,16000,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000
GET,/#/search?query=[XSS_FUZZ_GET],5,5,17000.0,14597.062580599595,5707.730295998772,17112.799766000535,0.0,0.02743337639564169,0.02743337639564169,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/#/search?term=[XSS_FUZZ_GET],10,10,16000.0,15490.026592400138,6615.665990000707,17122.674123998877,0.0,0.05486675279128338,0.05486675279128338,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,/api/Feedbacks/[XSS_POST_COMMENT],30,30,16000.0,15856.547726466668,4803.100052999071,17314.690821000113,0.0,0.16460025837385012,0.16460025837385012,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,/api/Users/,80,80,16000.0,15027.278608149889,2023.829684998418,18069.347917000414,0.0,0.438934022330267,0.438934022330267,16000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000
POST,/api/Users/[XSS_EMAIL],24,24,16000.0,15182.553742958286,7489.728598000511,18019.407690999287,0.0,0.1316802066990801,0.1316802066990801,16000,16000,17000,17000,17000,17000,18000,18000,18000,18000,18000
POST,/api/Users/[XSS_SECURITY_ANSWER],22,22,17000.0,16659.11314822725,15101.436146000196,17246.045378000417,0.0,0.12070685614082342,0.12070685614082342,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/rest/product/search?category=[SQLi_FUZZ],4,4,9400.0,12567.918034500053,8455.182408999462,16695.925468000496,0.0,0.02194670111651335,0.02194670111651335,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/rest/product/search?category=[SQLi_FUZZ_QUOTE],4,4,17000.0,17056.89205250019,16973.64310500052,17246.10588500036,0.0,0.02194670111651335,0.02194670111651335,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/rest/product/search?id=[SQLi_FUZZ],5,5,16000.0,16427.60586059958,15493.915140999889,17205.69928799887,0.0,0.02743337639564169,0.02743337639564169,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,/rest/product/search?id=[SQLi_FUZZ_QUOTE],4,4,17000.0,17051.346464999824,16946.52360299915,17157.636981000906,0.0,0.02194670111651335,0.02194670111651335,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
